FAO_commodity,pooled_commodity,ISSCAAP_division,ISSCAAP_group,group_for_pairing,exvessel_estimated
"Freshwater shrimps and prawns, frozen",Shrimps and prawns,CRUSTACEANS,Freshwater crustaceans,Freshwater crustaceans,1
"American/European lobsters (Homarus spp.), meat or tails, fresh or chilled",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"American/European lobsters (Homarus spp.), meat or tails, frozen",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"American/European lobsters (Homarus spp.), nei, fresh or chilled",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"American/European lobsters (Homarus spp.), nei, frozen",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"American/European lobsters (Homarus spp.), not frozen",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"American/European lobsters (Homarus spp.), whole, fresh or chilled",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"American/European lobsters (Homarus spp.), whole, frozen",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters (Homarus spp.), not frozen",American/European lobsters (Homarus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobster tails or meat, prep. or pres.",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters nei, fresh or chilled",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters nei, frozen",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters nei, meat or tails, frozen",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters nei, whole, fresh or chilled",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters nei, whole, frozen",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters, dried, salted or in brine, nei",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Lobsters, live",Lobsters,CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Norway lobsters (Nephrops spp.), meat or tails, fresh or chilled",Norway lobsters (Nephrops spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Norway lobsters (Nephrops spp.), nei, fresh or chilled",Norway lobsters (Nephrops spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Norway lobsters (Nephrops spp.), nei, frozen",Norway lobsters (Nephrops spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Norway lobsters (Nephrops spp.), nei, not frozen",Norway lobsters (Nephrops spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Norway lobsters (Nephrops spp.), whole, fresh or chilled",Norway lobsters (Nephrops spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Norway lobsters (Nephrops spp.), whole, frozen",Norway lobsters (Nephrops spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobster & other sea crawfish (Palinurus, Panulirus, Jasus), meat or tails, frozen","Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)",CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), fresh or chilled, nei","Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)",CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), whole, fresh or chilled","Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)",CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), frozen, nei","Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)",CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), whole, frozen","Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)",CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobster and other sea crawfish, not frozen","Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)",CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Spiny-rock lobster, prepared or preserved","Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus)",CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobsters (Jasus spp.), meat or tails, fresh or chilled",Rock lobsters (Jasus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobsters (Jasus spp.), meat or tails, frozen",Rock lobsters (Jasus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobsters (Jasus spp.), nei, fresh or chilled",Rock lobsters (Jasus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobsters (Jasus spp.), nei, frozen",Rock lobsters (Jasus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobsters (Jasus spp.), whole, fresh or chilled",Rock lobsters (Jasus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Rock lobsters (Jasus spp.), whole, frozen",Rock lobsters (Jasus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Spiny lobsters (Panulirus spp.), meat or tails, fresh or chilled",Spiny lobsters (Panulirus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Spiny lobsters (Panulirus spp.), meat or tails, frozen",Spiny lobsters (Panulirus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Spiny lobsters (Panulirus spp.), nei, fresh or chilled",Spiny lobsters (Panulirus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Spiny lobsters (Panulirus spp.), nei, frozen",Spiny lobsters (Panulirus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Spiny lobsters (Panulirus spp.), whole, fresh or chilled",Spiny lobsters (Panulirus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Spiny lobsters (Panulirus spp.), whole, frozen",Spiny lobsters (Panulirus spp.),CRUSTACEANS,"Lobsters, spiny-rock lobsters","Lobsters, spiny-rock lobsters",1
"Krill, etc. frozen",Krill,CRUSTACEANS,"Krill, planktonic crustaceans",Miscellaneous marine crustaceans,1
"Crustacean meal, nei",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
Crustacean preparations incl. paste,Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans live, for breeding and other purposes, nei",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans live, for human consumption, nei",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans nei, dried, salted or in brine",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans nei, frozen",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans nei, prepared or preserved",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans, fresh, chilled or boiled in water, nei",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Miscellaneous crustaceans, not frozen, nei",Crustaceans,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustacean and mollusc preparations, not in airtight containers",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
Crustaceans & molluscs unfit for human consumption,Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans and molluscs, dried, salted or in brine, nei",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans and molluscs, fresh, frozen, dried, salted, etc.",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans and molluscs, live, for breeding and other purposes, nei",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans and molluscs, live, for human food nei",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans and molluscs, nei, fresh or chilled",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans and molluscs, nei, frozen",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Crustaceans and molluscs, prepared or preserved, nei",Crustaceans and molluscs,CRUSTACEANS,Miscellaneous marine crustaceans,Miscellaneous marine crustaceans,1
"Common (=Crangon) shrimp, fresh, chilled or boiled",Common (=Crangon) shrimp,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Common (=Crangon) shrimp, frozen",Common (=Crangon) shrimp,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Common (=Crangon) shrimp, not frozen",Common (=Crangon) shrimp,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Deepwater rose shrimps (Parapenaeus longirostris), frozen",Deepwater rose shrimps (Parapenaeus longirostris),CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
Shrimp meal,Shrimps,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
Shrimp paste,Shrimps,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps, breaded, raw and cooked, prep. or pres.",Shrimps,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps, peeled, cooked, prep. or pres.",Shrimps,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), not frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), whether in shell or not, frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, cooked, frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, dried, salted or in brine, nei",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, fan tails, frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, fresh or chilled, nei",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, frozen, nei",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, live",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, not cooked, frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, not frozen, nei",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, other than coldwater, frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, other than coldwater, not frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, peeled, fresh or chilled",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, peeled, frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, prep. or pres., in airtight containers",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, prep. or pres., not in airtight containers",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns, tails, shell on, frozen",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps, prawns live, for breeding and other purposes",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps, prawns, prepared or preserved, nei",Shrimps and prawns,CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns (Pandalidae spp.), fresh or chilled",Shrimps and prawns (Pandalidae spp.),CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns (Pandalidae spp.), frozen",Shrimps and prawns (Pandalidae spp.),CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns (Pandalidae spp.), not frozen",Shrimps and prawns (Pandalidae spp.),CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns (Penaeus spp.), fresh or chilled",Shrimps and prawns (Penaeus spp.),CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns (Penaeus spp.), frozen",Shrimps and prawns (Penaeus spp.),CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Shrimps and prawns (Penaeus spp.), not frozen",Shrimps and prawns (Penaeus spp.),CRUSTACEANS,"Shrimps, prawns","Shrimps, prawns",1
"Barramundi, fresh or chilled",Barramundi,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Barramundi, frozen",Barramundi,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Milkfish, fresh or chilled",Milkfish,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Milkfish, frozen",Milkfish,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
Caviar and caviar substitutes,Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
Caviar substitutes,Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fish fillets, fresh or chilled, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fish fillets, frozen, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fish meat, wheter or not minced, fresh or chilled, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fish meat, whether or not minced, frozen, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fish, dried, whether or not salted, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fish, fresh or chilled, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fish, nei, smoked",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fishes fillets, fresh or chilled, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fishes fillets, frozen, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Diadromous fishes, nei, smoked",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Miscellaneous diadromous fish not minced, prep. or pres., nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Miscellaneous diadromous fish, nei, frozen",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Miscellaneous diadromous fish, salted or in brine, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Miscellaneous diadromous fishes, dried, salted or in brine, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Miscellaneous diadromous fishes, nei, frozen",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Miscellaneous diadromous fishes, salted or in brine, nei",Misc. diadromous fishes,DIADROMOUS FISHES,Miscellaneous diadromous fishes,Miscellaneous diadromous fishes,1
"Eels, fresh or chilled",Eels,DIADROMOUS FISHES,River eels,River eels,1
"Eels, frozen",Eels,DIADROMOUS FISHES,River eels,River eels,1
"Eels, smoked",Eels,DIADROMOUS FISHES,River eels,River eels,1
Eels and elvers live,Eels and elvers,DIADROMOUS FISHES,River eels,River eels,1
"Elvers, fresh or chilled",Eels and elvers,DIADROMOUS FISHES,River eels,River eels,1
"River eel fillets, fresh or chilled, nei",River eels,DIADROMOUS FISHES,River eels,River eels,1
"River eel fillets, frozen, nei",River eels,DIADROMOUS FISHES,River eels,River eels,1
"River eels, dried, salted or in brine",River eels,DIADROMOUS FISHES,River eels,River eels,1
"River eels, dried, whether or not salted, not smoked, nei",River eels,DIADROMOUS FISHES,River eels,River eels,1
"River eels, prepared or preserved, not minced, nei",River eels,DIADROMOUS FISHES,River eels,River eels,1
"Atlantic and Danube salmons, fresh or chilled",Atlantic and Danube salmons,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Atlantic salmon and Danube salmon, frozen",Atlantic and Danube salmons,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Atlantic salmon, not minced, prepared or preserved",Atlantic and Danube salmons,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Chum salmon, not minced, prepared or preserved",Chum salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Coho salmon, not minced, prepared or preserved",Coho salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Pacific salmon, fresh or chilled",Pacific salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Pacific salmon, frozen, nei",Pacific salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Pacific salmons nei, not minced, prepared or preserved",Pacific salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Pacific salmons, fresh or chilled",Pacific salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Pacific salmons, frozen, nei",Pacific salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Pink salmon, not minced, prepared or preserved, nei",Pink salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon fillets, dried, salted or in brine",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon fillets, fresh or chilled",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon fillets, frozen",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon minced, preparations",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon minced, prepared or preserved",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon nei prep. or pres., not minced, not in airtight containers",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon nei, not minced, in oil, prepared or preserved",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon nei, not minced, prep.or pres, in airtight containers",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon nei, not minced, prepared or preserved",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon roes, cured",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon roes, frozen",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon sides, salted or in brine",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon steaks, fresh or chilled",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmon steaks, frozen",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons nei, frozen",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons, dried, whether or not salted, not smoked, nei",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons, fillets, dried, salted or in brine",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons, fresh or chilled, nei",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons, live",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons, meat. frozen",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons, salted or in brine",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmons, smoked",Salmon,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids fillets in blocks, frozen",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids fillets, dried, salted or in brine, but not smoked",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids fillets, fresh or chilled",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids fillets, fresh or chilled, nei",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids fillets, frozen",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids fillets, frozen, nei",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids meat, fresh or chilled, nei",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids nei, dried, whether or not salted, not smoked",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids nei, minced, prepared or preserved",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
"Salmonoids nei, salted or in brine",Salmonoids,DIADROMOUS FISHES,"Salmons, trouts, smelts","Salmons, trouts, smelts",1
